id,name,glideId,date,locations,locations_id,categories,categories_id
617,South Sudan Refugee Crisis 2014 - 2016,,2014-01-01T00:00:00.000Z,212,id,2,id
620,Ukraine-Civil Unrest-2014,,2014-03-01T00:00:00.000Z,234,id,2,id
704,BANGLADESH - Rohingya Refugee Crisis (from 2017),OT-2017-000003-BGD,2017-08-25T00:00:00.000Z,19,id,2,id
742,VENEZUELA Outflow - Regional Refugees and Migrants,,2018-11-01T10:46:02.857Z,27,id,2,id
742,VENEZUELA Outflow - Regional Refugees and Migrants,,2018-11-01T10:46:02.857Z,32,id,2,id
742,VENEZUELA Outflow - Regional Refugees and Migrants,,2018-11-01T10:46:02.857Z,45,id,2,id
742,VENEZUELA Outflow - Regional Refugees and Migrants,,2018-11-01T10:46:02.857Z,49,id,2,id
742,VENEZUELA Outflow - Regional Refugees and Migrants,,2018-11-01T10:46:02.857Z,54,id,2,id
742,VENEZUELA Outflow - Regional Refugees and Migrants,,2018-11-01T10:46:02.857Z,58,id,2,id
742,VENEZUELA Outflow - Regional Refugees and Migrants,,2018-11-01T10:46:02.857Z,64,id,2,id
742,VENEZUELA Outflow - Regional Refugees and Migrants,,2018-11-01T10:46:02.857Z,65,id,2,id
742,VENEZUELA Outflow - Regional Refugees and Migrants,,2018-11-01T10:46:02.857Z,95,id,2,id
742,VENEZUELA Outflow - Regional Refugees and Migrants,,2018-11-01T10:46:02.857Z,144,id,2,id
742,VENEZUELA Outflow - Regional Refugees and Migrants,,2018-11-01T10:46:02.857Z,172,id,2,id
742,VENEZUELA Outflow - Regional Refugees and Migrants,,2018-11-01T10:46:02.857Z,174,id,2,id
742,VENEZUELA Outflow - Regional Refugees and Migrants,,2018-11-01T10:46:02.857Z,175,id,2,id
742,VENEZUELA Outflow - Regional Refugees and Migrants,,2018-11-01T10:46:02.857Z,227,id,2,id
742,VENEZUELA Outflow - Regional Refugees and Migrants,,2018-11-01T10:46:02.857Z,239,id,2,id
742,VENEZUELA Outflow - Regional Refugees and Migrants,,2018-11-01T10:46:02.857Z,11,id,2,id
742,VENEZUELA Outflow - Regional Refugees and Migrants,,2018-11-01T10:46:02.857Z,13,id,2,id
709,Zimbabwe Cholera Outbreak - September 2018,EP-2018-000150-ZWE,2018-10-10T09:31:44.808Z,250,id,3,id
944,Beirut Port Explosion - August 2020,2020-000177,2020-08-08T13:22:25.472Z,124,id,2,id
947,Ethiopia Tigray Complex Emergency,CE-2020-000229-ETH,2020-11-04T10:50:57.825Z,212,id,2,id
